asset_subgroup,sub_category,rank,isin,scheme_code,recommended_fund,selection_reason,custom_reason,pm_tenure_reason,returns_pctile_reason,consistency_reason,direct_regular_reason,div_growth_reason,worst_perf_reason,size_reason,excluded_subgroup_reason
arbitrage,Arbitrage Fund,1,INF174K01LC6,119771,Kotak Arbitrage Fund - Direct Plan - Growth,Consistently ranked as one of the top arbitrage funds in India being rn by th eportfolio manager for long and associated with a top AMCs in the country.,,,,,,,,,
arbitrage,Arbitrage Fund,2,INF277K017Q3,145724,Tata Arbitrage Fund-Direct Plan-Growth,Consistently ranked as one of the top arbitrage funds in India being rn by th eportfolio manager for long and associated with a top AMCs in the country.,,,,,,,,,
arbitrage,Arbitrage Fund,3,INF209K01VP1,119526,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,One of the top arbitrage funds in India being run by th eportfolio manager for long and associated with a well run AMCs in the country.,,,,,,,,,
arbitrage,Arbitrage Fund,4,INF200K01QU0,119574,SBI Arbitrage Opportunities Fund - Direct Plan - Gr,One of the top arbitrage funds in India being run by th eportfolio manager for long and associated with a well run AMCs in the country. Returns are a bit lower vs our preferred funds in the category though,,,,,,,,,
arbitrage,Arbitrage Fund,5,INF789FB1RG6,120795,UTI Arbitrage Fund - Direct Plan - Growth Option,One of the top arbitrage funds in India being run by th eportfolio manager for long and associated with a well run AMCs in the country. Returns are a bit lower vs our preferred funds in the category though,,,,,,,,,
arbitrage,Arbitrage Fund,,INF209K01264,112088,Aditya BIRLA SUN LIFE ARBITRAGE FUND - REGULAR PLAN - GROWTH,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
arbitrage,Arbitrage Fund,,INF209K01P80,119525,Aditya Birla Sun Life Arbitrage Fund-DIRECT - IDCW,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF209K01256,112087,Aditya Birla Sun Life Arbitrage Fund-Regular - IDCW,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF846K01PZ1,130773,Axis Arbitrage Fund - Direct Plan - Growth,,"The fund has delivered strong returns in recent years, which is encouraging. However, the current fund manager has only a short track record managing this fund, making it harder to fully assess consistency. We’d prefer to monitor performance over a longer period before building strong conviction. For now, there are other funds with more established track records that may be better investment options.",,,,,,,,
arbitrage,Arbitrage Fund,,INF846K01QA2,130774,Axis Arbitrage Fund - Direct Plan - Monthly IDCW,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
